dHex.count,HexNAc.count,NeuAc.count,Hex.count,mass,Intensity,Sample.name,Sample.collection.time
4,1,1,0,3372.6616,5.07192620585128,NP1,0plus0
5,0,0,0,2940.4506,32.469266968511,NP1,0plus0
5,1,0,0,3185.577,6.85438675203405,NP1,0plus0
2,2,0,-2,2500,9.53211765493138,NP1,0plus0
3,1,0,-1,2633.1,5.55890990126797,NP1,0plus0
3,2,0,-2,2674.1,8.80729093983141,NP1,0plus0
0,0,0,0,2070.0046,35.4553752255966,NP2,0plus0
0,0,1,0,2431.1784,9.13753418724327,NP2,0plus0
0,0,2,0,2792.3522,17.430819060814,NP2,0plus0
0,1,2,0,3037.4786,2.29076384654592,NP2,0plus0
1,0,0,0,2244.0938,157.212665445382,NP2,0plus0
1,0,2,0,2966.4414,8.62439774469811,NP2,0plus0
1,1,0,0,2489.2202,48.4024367324679,NP2,0plus0
1,1,1,0,2850.394,13.5559619718775,NP2,0plus0
1,1,2,0,3211.5678,11.8415572261401,NP2,0plus0
1,2,0,0,2734.3466,4.34563582749157,NP2,0plus0
2,0,0,0,2418.183,65.6134611857135,NP2,0plus0
2,0,1,0,2779.3568,18.5340975861398,NP2,0plus0
2,0,2,0,3140.5306,15.3901852644236,NP2,0plus0
2,1,0,0,2663.3094,38.3110177899936,NP2,0plus0
2,1,1,0,3024.4832,10.9574973002436,NP2,0plus0
2,1,2,0,3385.657,2.31945229656896,NP2,0plus0
2,2,0,0,2908.4358,4.35067658453829,NP2,0plus0
3,0,0,0,2592.2722,77.3690004340474,NP2,0plus0
3,0,1,0,2953.446,19.5012622067904,NP2,0plus0
3,0,2,0,3314.6198,10.0938501866944,NP2,0plus0
3,1,0,0,2837.3986,39.0002594511809,NP2,0plus0
3,1,1,0,3198.5724,9.27852829033623,NP2,0plus0
3,1,2,0,3559.7462,2.29620411662185,NP2,0plus0
3,2,0,0,3082.525,4.84889185586826,NP2,0plus0
4,0,0,0,2766.3614,31.1251941268229,NP2,0plus0
4,0,1,0,3127.5352,8.71013516821062,NP2,0plus0
4,1,0,0,3011.4878,18.713212122286,NP2,0plus0
4,1,1,0,3372.6616,3.00644851270254,NP2,0plus0
4,2,0,0,3256.6142,4.40261927565956,NP2,0plus0
4,2,1,0,3617.788,1.35531036921639,NP2,0plus0
2,2,0,-2,2500,30.707837631045,NP2,0plus0
3,1,0,-1,2633.1,30.4598654320366,NP2,0plus0
3,2,0,-2,2674.1,22.8080900783244,NP2,0plus0
4,1,0,-1,2807.2,13.617320151047,NP2,0plus0
0,0,0,0,2070.0046,11.2757338332034,NP3,0plus0
0,0,1,0,2431.1784,9.93420031666529,NP3,0plus0
0,0,2,0,2792.3522,31.1359486980817,NP3,0plus0
0,1,1,0,2676.3048,11.2792700106279,NP3,0plus0
0,1,2,0,3037.4786,7.42709201456693,NP3,0plus0
1,0,0,0,2244.0938,38.5871560493823,NP3,0plus0
1,0,1,0,2605.2676,24.8753448771777,NP3,0plus0
1,0,2,0,2966.4414,26.9709070911892,NP3,0plus0
1,1,0,0,2489.2202,17.4927132005534,NP3,0plus0
1,1,1,0,2850.394,23.3783270051623,NP3,0plus0
1,1,2,0,3211.5678,50.8998581968488,NP3,0plus0
1,2,0,0,2734.3466,4.73399496331845,NP3,0plus0
2,0,0,0,2418.183,28.4295499280204,NP3,0plus0
2,0,1,0,2779.3568,24.5331882506502,NP3,0plus0
2,0,2,0,3140.5306,37.0545451012423,NP3,0plus0
2,1,0,0,2663.3094,18.6565095060096,NP3,0plus0
2,1,1,0,3024.4832,11.7333177035221,NP3,0plus0
2,1,2,0,3385.657,3.91145968784737,NP3,0plus0
2,2,0,0,2908.4358,10.7404262758898,NP3,0plus0
2,2,1,0,3269.6096,2.22286225819343,NP3,0plus0
2,3,0,0,3153.5622,3.24320126473702,NP3,0plus0
3,0,0,0,2592.2722,12.3326285727513,NP3,0plus0
3,0,2,0,3314.6198,7.03291880799289,NP3,0plus0
3,1,0,0,2837.3986,20.147428709464,NP3,0plus0
3,1,1,0,3198.5724,15.9210650018346,NP3,0plus0
3,2,0,0,3082.525,12.6129429988757,NP3,0plus0
3,2,1,0,3443.6988,3.00189706070863,NP3,0plus0
3,3,0,0,3327.6514,2.58415856900827,NP3,0plus0
4,1,1,0,3372.6616,3.52334734320509,NP3,0plus0
4,2,0,0,3256.6142,6.54031395110477,NP3,0plus0
4,3,0,0,3501.7406,1.92129476327255,NP3,0plus0
2,2,0,-2,2500,6.95607727673453,NP3,0plus0
3,2,0,-2,2674.1,2.83689827572142,NP3,0plus0
0,0,0,0,2070.0046,9.39422135930726,NP4,0plus0
0,0,2,0,2792.3522,6.2374980841966,NP4,0plus0
1,0,0,0,2244.0938,36.097483373523,NP4,0plus0
1,0,2,0,2966.4414,3.94521726420712,NP4,0plus0
1,1,0,0,2489.2202,24.1885382451207,NP4,0plus0
1,1,1,0,2850.394,6.83049708413054,NP4,0plus0
1,1,2,0,3211.5678,2.90335144169549,NP4,0plus0
1,2,0,0,2734.3466,3.78234790390208,NP4,0plus0
2,0,0,0,2418.183,14.897926995766,NP4,0plus0
2,0,1,0,2779.3568,5.36611486833887,NP4,0plus0
2,0,2,0,3140.5306,4.27694677762239,NP4,0plus0
2,1,0,0,2663.3094,20.348698485553,NP4,0plus0
2,1,1,0,3024.4832,5.3069635225345,NP4,0plus0
2,1,2,0,3385.657,2.77556642650297,NP4,0plus0
2,2,0,0,2908.4358,4.06576244790989,NP4,0plus0
3,0,0,0,2592.2722,14.9344696697667,NP4,0plus0
3,0,1,0,2953.446,5.90400822819154,NP4,0plus0
3,0,2,0,3314.6198,4.42801538825692,NP4,0plus0
3,1,0,0,2837.3986,27.2700451786239,NP4,0plus0
3,1,1,0,3198.5724,5.86829449708828,NP4,0plus0
3,1,2,0,3559.7462,2.86158735912252,NP4,0plus0
3,2,0,0,3082.525,4.67374497263433,NP4,0plus0
4,0,0,0,2766.3614,11.4256253259732,NP4,0plus0
4,0,1,0,3127.5352,3.86130273483373,NP4,0plus0
4,1,0,0,3011.4878,17.8957389981662,NP4,0plus0
4,1,1,0,3372.6616,4.20399232282104,NP4,0plus0
4,2,0,0,3256.6142,3.44288000070832,NP4,0plus0
4,3,0,0,3501.7406,0.977757673670317,NP4,0plus0
5,1,0,0,3185.577,7.44536047612153,NP4,0plus0
2,2,0,-2,2500,7.64218440001505,NP4,0plus0
3,1,0,-1,2633.1,9.01622147451158,NP4,0plus0
3,2,0,-2,2674.1,6.99680157777501,NP4,0plus0
4,1,0,-1,2807.2,5.36155817932113,NP4,0plus0
